image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2/skelorig.tif
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.01
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	4
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0      116.33     396.287           0     39014.7           0
0           1     117.328      396.35           0     36672.5     1515.12
0           2     118.317     396.204           0     23716.6     12949.6
0           3     119.308     396.068           0     26184.1     1706.51
0           4     120.306     396.011           0       26699           0
0           5     121.306     395.992           0     24542.3           0
0           6     122.305     395.955           0     22567.7           0
0           7     123.299     395.841           0     15931.1           0
0           8     124.268     395.595           0     8458.55           0
0           9      125.19     395.208           0     14057.7           0
0          10     126.018     394.647           0     13506.9     5733.18
0          11     126.666     393.886           0     20869.6      426.99
0          12     127.333     393.141           0     21862.3     3978.71
0          13     128.197     392.638           0           0     852.052
0          14     129.167     392.397           0           0     744.223
0          15     130.143     392.179           0     1665.04           0
0          16     131.086     391.845           0     11071.2           0
0          17     131.996     391.431           0     5796.66           0
0          18     132.936     391.089           0     12912.1           0
0          19     133.883     390.769           0     10982.2           0
0          20     134.826     390.435           0     9824.45     3.03234
0          21     135.781     390.141           0     21682.6           0
0          22     136.714     389.781           0     22779.1     114.089
0          23     137.572     389.268           0     10385.6      813.73
0          24     138.313     388.597           0     8157.71     951.048
0          25     139.032     387.902           0     10195.1     431.761
0          26     139.884     387.377           0     5543.76     942.459
0          27     140.822     387.033           0     11143.8     834.333
0          28     141.772     386.719           0     8246.21           0
0          29     142.698     386.341           0     7261.63           0
0          30     143.604      385.92           0     11514.8           0
0          31     144.522     385.523           0     6528.99           0
0          32     145.475      385.22           0     12239.1           0
0          33     146.462     385.058           0       15014           0
