image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2_new/tophat.png
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.02
maximum-foreground	255
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	10
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0     64.5125     315.702           0     106.265     44.9507
0           1     64.7651     316.667           0     125.284     55.8977
0           2     65.0287     317.629           0     135.031     70.0662
0           3     65.3191     318.583           0     133.912     69.1028
0           4     65.6134     319.535           0     126.628     55.5792
0           5     65.8595     320.501           0     107.532     44.8044
0           6     66.0142     321.486           0     83.2599     37.7253
0           7     66.0758     322.482           0     66.4372     28.8695
0           8     66.0782     323.479           0     60.7329     21.6286
0           9     66.0746     324.476           0     58.6397      18.191
0          10     66.1049     325.473           0      55.953     16.0321
0          11     66.1824     326.467           0     52.5909     14.6616
0          12      66.293     327.458           0     49.2965     13.0522
0          13     66.4116     328.448           0     46.6425     11.6524
0          14     66.5207     329.439           0     45.8947     9.98128
0          15      66.617     330.431           0     47.5114     7.76671
0          16     66.7131     331.424           0      50.028     5.59298
0          17     66.8359     332.413           0     51.9495     4.05713
0          18     67.0172     333.394           0     52.8695     3.39161
0          19     67.2771     334.356           0     51.5533     4.59886
0          20     67.6031     335.298           0     53.7658     10.7437
0          21     67.9448     336.235           0     62.5435     24.2265
0          22     68.2283      337.19           0     76.3114      34.051
0          23     68.4103      338.17           0     87.3729     36.8082
0          24     68.5608     339.156           0     89.0693      42.484
0          25     68.8116      340.12           0     78.8533     38.2495
0          26     69.1905     341.041           0     61.6659     25.5298
0          27      69.636     341.933           0     46.3149     19.7537
0          28      70.102     342.815           0     39.9536     18.8169
0          29     70.5856     343.686           0     41.2431     18.8859
0          30     71.0869     344.548           0     43.2622     19.5034
0          31     71.5976     345.405           0     44.5186      20.158
0          32     72.0982     346.267           0     44.5881     22.4845
0          33     72.5749     347.143           0     48.4032     28.5087
0          34     73.0212     348.034           0     58.8104     36.5626
0          35     73.4477     348.936           0     78.8718     41.3111
0          36     73.8842     349.832           0     99.1295     41.0069
0          37     74.3595     350.708           0     101.866     35.2287
0          38     74.8466     351.579           0     88.2406     24.7196
0          39     75.2817     352.475           0     65.8963     15.6226
0          40     75.6286     353.409           0     47.0711     12.2684
0          41     75.8823     354.373           0       37.41     10.5581
0          42     76.0555     355.354           0     34.3184     8.48977
0          43     76.1709     356.344           0     36.3775     7.15039
0          44     76.2509     357.338           0     41.3673     5.93054
0          45     76.3096     358.334           0     48.3349     4.67978
0          46     76.3562      359.33           0     55.6367     3.60012
0          47     76.4054     360.325           0     63.2784     3.07031
0          48     76.4758      361.32           0     69.7526     2.81553
0          49     76.5833     362.311           0     75.6839      2.2848
0          50     76.7391     363.296           0     84.2613     2.04151
0          51     76.9482      364.27           0     99.1155     1.93344
0          52     77.2012     365.235           0       114.9      2.2543
0          53     77.4819     366.191           0     128.681     3.09784
0          54     77.7843     367.142           0     139.106     4.55985
0          55     78.1037     368.086           0      138.56     6.79349
0          56     78.4126     369.034           0     123.441     8.66603
0          57     78.6666     369.998           0     106.035      9.7407
0          58     78.8048     370.983           0     87.5924     8.17373
0          59     78.7647     371.976           0     70.1211     7.59138
0          60     78.5279      372.94           0     58.7172     17.5971
0          61     78.1301     373.851           0     52.7856     26.5205
0          62     77.6358     374.716           0     50.3116     21.0849
0          63      77.112     375.564           0      49.443     12.6794
0          64     76.6199     376.431           0     46.1529     7.03691
0          65     76.2029     377.336           0     45.3095     3.91026
0          66     75.8806     378.278           0     44.6691     2.06821
0          67     75.6493     379.247           0     41.9781     1.07071
0          68     75.4917     380.231           0     40.5421    0.474333
0          69     75.3863     381.222           0     39.1416    0.260494
0          70     75.3127     382.216           0     38.9941    0.169662
0          71     75.2544     383.212           0     38.7703    0.128244
0          72     75.1986     384.207           0     38.1644    0.114708
0          73     75.1384     385.203           0     38.2799   0.0960204
0          74      75.073     386.198           0     38.5478   0.0568862
0          75     75.0025     387.192           0     38.7898  0.00847438
0          76     74.9278     388.187           0     37.5805    0.031254
0          77     74.8535     389.181           0     37.2941   0.0496163
0          78     74.7856     390.176           0     37.1803    0.055572
0          79      74.728     391.171           0     37.0592    0.056189
0          80     74.6816     392.167           0     36.4164   0.0402147
0          81     74.6473     393.164           0     36.6473   0.0442804
0          82     74.6258     394.161           0     36.6258   0.0468474
0          83     74.6145     395.158           0     36.6145   0.0482017
0          84     74.6097     396.155           0     36.6097   0.0487903
0          85     74.6083     397.152           0     36.6083   0.0489688
0          86     74.6084     398.149           0     36.6084   0.0712967
0          87     74.6089     399.146           0     36.6089    0.234497
0          88     74.6084     400.143           0     36.6956    0.453883
0          89     74.6035     401.141           0     37.2627    0.592656
0          90     74.5907     402.138           0     37.7282    0.678841
0          91     74.5693     403.134           0     38.7617    0.831207
0          92     74.5408     404.131           0     40.2021     1.02245
0          93     74.5043     405.128           0     41.6952     1.12773
0          94     74.4555     406.124           0      43.258     1.37686
0          95     74.3922     407.119           0     45.4062     1.74102
0          96     74.3136     408.113           0     47.1366     2.03246
0          97     74.2173     409.105           0     48.2722     2.10343
0          98     74.1031     410.096           0     50.3541     1.91381
0          99     73.9739     411.084           0     51.7693       1.868
0         100      73.835     412.072           0     50.8091     2.09665
0         101     73.6908     413.058           0     49.7591     2.37508
0         102     73.5408     414.044           0     49.5133     2.67425
0         103     73.3831     415.029           0     49.2295     2.94578
0         104     73.2174     416.012           0     49.9172     3.05889
0         105     73.0468     416.994           0      51.621     3.09404
0         106     72.8792     417.977           0      51.267     3.39159
0         107     72.7218     418.962           0     50.8659     3.86379
0         108     72.5743     419.948           0     50.5599     4.37421
0         109     72.4323     420.935           0     51.0897      4.8762
0         110     72.2914     421.922           0     51.5332     5.47051
0         111     72.1503     422.909           0     53.6572     6.22481
0         112     72.0113     423.897           0     55.7759     7.55608
0         113     71.8825     424.885           0     55.1374     9.59951
0         114     71.7729     425.876           0     54.8083     11.8051
0         115     71.6848      426.87           0     54.1027     13.8079
0         116     71.6174     427.864           0     53.6493     15.3075
0         117     71.5695      428.86           0     53.0796     15.8675
0         118     71.5388     429.857           0     52.1431     15.4966
0         119     71.5236     430.854           0     51.5529     14.4116
0         120      71.524     431.851           0      51.476     14.0012
0         121     71.5395     432.848           0     51.4605     14.6577
0         122     71.5689     433.845           0      51.067      16.342
0         123     71.6101     434.841           0     51.1851     18.4912
0         124     71.6617     435.837           0     51.3234     20.5324
0         125     71.7262     436.832           0     51.8285     22.1298
0         126     71.8089     437.825           0     52.7454     23.4631
0         127     71.9196     438.816           0     55.0186     24.9382
0         128     72.0714     439.801           0     56.1166     26.5089
0         129     72.2743     440.777           0     55.9484      28.028
0         130     72.5399     441.738           0     56.3538       29.24
0         131     72.8916     442.669           0     57.4105     30.6216
0         132     73.3504     443.553           0     57.5853     32.1064
0         133     73.9044     444.382           0     58.7037     34.7702
0         134     74.5072     445.176           0     63.2276     37.1304
0         135     75.0901     445.984           0     69.5514     35.8084
0         136     75.5789      446.85           0     75.6041      28.224
0         137     75.9164     447.786           0     78.4805      20.866
0         138     76.0731     448.768           0     76.7535     22.1102
0         139     76.0526     449.762           0     73.8065     28.7672
0         140      75.872     450.741           0     69.5854     33.8334
0         141     75.5661     451.689           0      65.929     34.4059
0         142     75.1942     452.615           0     64.0303      31.852
0         143      74.831     453.543           0     64.6131     27.9282
0         144     74.5516     454.499           0      67.188     25.8751
0         145     74.4126     455.484           0     70.0795     24.9232
0         146     74.4489     456.478           0     70.5942     24.6335
0         147     74.6593     457.451           0     68.8804     24.5877
0         148     75.0131     458.382           0     67.9627     25.3309
0         149     75.4725     459.267           0     67.7798      26.276
0         150     75.9936     460.117           0     68.9936     28.3411
0         151     76.5431     460.949           0     69.4877     30.4705
0         152     77.0938      461.78           0     70.0526     31.7668
0         153      77.624     462.625           0     71.0138      32.416
0         154     78.1247     463.487           0     71.3245     31.2577
0         155     78.5942     464.367           0     70.1083      29.777
0         156     79.0371      465.26           0     69.6756     28.0658
0         157      79.464     466.161           0     68.5991     26.8504
0         158     79.8791     467.068           0     69.8177     26.1264
0         159     80.2787     467.981           0     71.2493     25.6099
0         160     80.6613     468.902           0     75.5598     25.8017
0         161     81.0128     469.835           0     80.3225     25.6499
0         162     81.3086     470.787           0     81.9641      24.945
0         163     81.5392     471.757           0     79.9196     24.0261
0         164     81.7084      472.74           0     74.0246     22.6141
0         165     81.8294     473.729           0     67.9882     21.4611
0         166     81.9159     474.723           0     68.0482     20.8709
0         167     81.9842     475.717           0     76.0607     21.0348
0         168     82.0311     476.713           0     88.7481      21.598
0         169     82.0421      477.71           0      101.81     22.6682
0         170     82.0067     478.707           0     112.275     24.2402
0         171     81.9122       479.7           0     117.392     27.2126
0         172      81.754     480.684           0     116.185     32.6236
0         173     81.5546     481.661           0     104.592     40.6252
0         174     81.3464     482.636           0     84.4902     43.7862
#1
1           0      131.78     267.948           0     194.321     20.3237
1           1     132.181     267.027           0     220.208     24.1069
1           2     132.519     266.081           0     207.563     24.5161
1           3     132.822     265.124           0     182.014     30.3315
1           4     133.148     264.174           0     151.287     42.3379
1           5     133.504     263.235           0     124.699     53.2583
1           6     133.893     262.309           0     110.595     56.6479
1           7     134.264     261.376           0     97.5464     55.9218
1           8     134.571      260.42           0     89.5678     54.5179
1           9     134.753     259.433           0     87.5924     51.8626
1          10      134.79     258.429           0     86.6568     58.8628
1          11     134.739     257.426           0     86.9977     74.1925
1          12     134.665     256.425           0     89.7742      86.208
1          13     134.622     255.421           0     92.2605     87.3787
1          14     134.661     254.418           0     92.9905     80.8122
1          15     134.819     253.426           0       92.31     67.0129
1          16     135.114     252.466           0     88.9693     54.2078
1          17     135.542     251.558           0     82.8522     46.6076
1          18     136.085     250.713           0      78.741     45.2019
1          19     136.714     249.931           0     77.7638     46.2984
1          20     137.411     249.207           0     82.6423     48.2075
1          21     138.154     248.532           0     91.4199     51.1032
1          22     138.927     247.891           0      102.81     53.2812
1          23     139.726     247.283           0     106.031     57.1517
1          24     140.545     246.701           0     105.553     58.5781
1          25     141.379     246.141           0     102.198     59.1867
1          26     142.216     245.587           0     92.8517     57.6774
1          27     143.059     245.041           0     88.2077     58.3999
1          28     143.906     244.501           0     81.4067     58.1174
1          29     144.762     243.976           0     84.0738     59.5659
1          30     145.626     243.465           0     86.4322     57.4851
1          31     146.489     242.952           0     97.6188      55.517
1          32     147.343     242.422           0     109.024     50.4907
1          33     148.175      241.86           0      133.36     45.0221
1          34     148.991     241.275           0     160.831     38.9369
1          35     149.799     240.678           0     176.546     32.3048
1          36     150.636     240.124           0     175.487     27.5513
1          37     151.505      239.62           0     150.152      24.241
1          38      152.39     239.146           0     125.472     21.6363
1          39     153.266     238.655           0     114.589      18.566
1          40     154.112     238.114           0     129.458     15.8245
1          41     154.918     237.515           0     160.582     13.8878
1          42     155.694     236.878           0     189.711     13.1637
1          43     156.478      236.25           0      187.17     14.8973
1          44     157.297      235.67           0      157.22     20.5766
1          45     158.162      235.16           0      112.28     30.6649
1          46     159.058     234.706           0      82.903     36.7154
1          47     159.968     234.281           0     73.4441     35.3638
1          48     160.878     233.856           0     73.0674     30.7845
1          49     161.783     233.422           0     73.1657     25.8849
1          50     162.691     232.993           0     77.0202     23.6449
1          51      163.61     232.586           0      76.316     24.8557
1          52     164.551     232.236           0     78.1386     29.5046
1          53     165.522     231.982           0     79.2967     34.2718
1          54     166.519     231.863           0     74.3424     40.3873
1          55     167.523     231.897           0     67.9755     48.7912
1          56     168.516     232.048           0     61.5028     54.5877
1          57     169.498     232.256           0     56.7355     53.7343
1          58     170.484     232.448           0     56.8666     47.3083
1          59     171.483     232.552           0     60.1874      38.195
1          60     172.486     232.516           0     64.4976     31.6942
1          61     173.473     232.332           0       68.72     30.6493
1          62     174.432     232.032           0     74.3991     29.6378
1          63     175.366     231.665           0     76.3374     27.0756
1          64     176.295     231.282           0     79.6174     24.1359
1          65     177.232      230.92           0     82.5153     21.1089
1          66     178.195     230.638           0     79.0953     18.4199
1          67     179.188     230.488           0     74.7982     19.0242
1          68     180.192     230.487           0     68.4526     28.8364
1          69      181.19     230.603           0     63.4338     48.2124
1          70     182.176     230.795           0     62.2855     60.0133
1          71     183.158     231.005           0     66.9099     56.5365
