image	C:/Users/diogo/OneDrive - Universidade de Lisboa/Ambiente de Trabalho/WORK/202402 - Paper SOTA/figs/fig2_new/tophat.png
intensity-scaling	0
gaussian-std	0
ridge-threshold	0.005
maximum-foreground	255
minimum-foreground	2
init-z	false
snake-point-spacing	1
minimum-snake-length	20
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	4
external-factor	1
stretch-factor	0.2
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0     182.815     225.564           0      99.134     62.1962
0           1     183.609     224.951           0     111.475     55.9189
0           2     184.406     224.341           0     105.564     51.3147
0           3     185.202      223.73           0     96.4156     47.3297
0           4     185.999     223.121           0     85.7624     45.0114
0           5     186.794      222.51           0     74.9586     45.1829
0           6     187.579     221.886           0     71.1481     44.6455
0           7     188.345     221.237           0     68.4378     44.7556
0           8      189.09     220.565           0     70.7381     44.7189
0           9     189.829     219.887           0      74.895     42.9823
0          10     190.576     219.217           0     78.8565     40.5487
0          11     191.332     218.558           0     83.2156     38.5604
0          12     192.101     217.913           0     90.4856     36.4277
0          13     192.881     217.283           0     94.5001     35.1149
0          14     193.672     216.666           0     98.9197     33.6451
0          15     194.464     216.049           0     106.285     32.6343
0          16     195.234     215.407           0     111.873     33.1162
0          17     195.969     214.724           0     118.698     34.9274
0          18     196.664     214.001           0     121.653     37.5813
0          19     197.336     213.255           0     123.474     41.1421
0          20     198.002     212.505           0     126.482     44.1284
0          21      198.69     211.775           0     126.542     46.3795
0          22     199.428     211.096           0     129.602     46.2688
0          23     200.262     210.538           0     133.021     38.1499
0          24     201.223      210.25           0     134.139     27.8344
0          25     202.219     210.368           0     124.567     32.2113
0          26     203.132     210.784           0     112.568     36.7872
0          27     203.972     211.333           0     107.371     34.2019
0          28     204.802     211.896           0     111.787     26.6885
0          29     205.676     212.389           0     118.131     21.7764
0          30     206.597     212.787           0     124.069     20.0134
0          31     207.546     213.111           0     126.168     18.7616
0          32     208.504     213.408           0     124.184     18.0368
0          33      209.45     213.743           0     124.088     15.9827
0          34     210.356     214.173           0     117.808     12.3463
0          35     211.207     214.705           0     101.479     11.0936
0          36     212.004     215.314           0     78.2585     13.2816
0          37     212.774     215.957           0     54.0893     15.7811
0          38     213.526     216.621           0     36.1552     18.5618
0          39     214.265       217.3           0     27.3269     25.8652
#1
1           0     210.737     213.529           0     111.181     23.4441
1           1     211.719     213.317           0     90.3049     22.8273
1           2     212.682      213.03           0     66.4548     26.1524
1           3     213.632     212.704           0     46.0889     25.1232
1           4      214.58     212.372           0     33.8312     20.9099
1           5     215.528     212.041           0      28.351     17.1223
1           6     216.472     211.698           0     24.3138     17.2068
1           7     217.408     211.333           0     22.7284     21.8735
1           8     218.338     210.952           0     23.2736     28.2943
1           9     219.271     210.579           0     24.4557     33.7943
1          10     220.214     210.233           0       27.61     36.8209
1          11     221.173     209.936           0     31.0556     39.3967
1          12     222.151     209.704           0     31.7482     42.3047
1          13      223.14      209.53           0     32.0659     44.2187
1          14     224.136     209.394           0     32.6878     44.0892
1          15     225.132      209.27           0     33.7863     43.0499
1          16     226.128     209.138           0     36.7989     40.4274
1          17     227.123     208.996           0       40.47     34.9389
1          18     228.118     208.857           0      44.149     25.2987
1          19     229.116     208.747           0     50.0839      15.036
1          20     230.119     208.694           0     57.4261     8.54864
1          21     231.124     208.706           0     65.9123      5.6917
1          22     232.127     208.765           0     72.4275     5.09306
1          23     233.129     208.833           0      76.953     7.19651
1          24     234.133     208.878           0     76.2278     11.4613
1          25     235.137     208.885           0     70.0003     13.1717
1          26     236.141     208.853           0     62.0223     10.4306
1          27     237.144     208.799           0     55.4474     6.44206
1          28     238.148     208.752           0     51.7508      3.8897
1          29     239.152     208.734           0     50.4657     2.52889
1          30     240.156     208.763           0     52.6032     2.50122
1          31     241.158     208.845           0     56.6052     3.55796
1          32     242.155     208.967           0     60.9599     6.62797
1          33     243.153     209.083           0     62.3587      12.732
1          34     244.154     209.165           0     62.2694     16.7251
1          35     245.157     209.222           0     63.3833     14.2374
1          36     246.159     209.287           0     63.5705     8.41892
1          37     247.161     209.364           0     62.1786     3.90825
1          38     248.162     209.447           0     59.6929     2.56083
1          39     249.162     209.547           0     57.2333     2.78614
1          40     250.157     209.685           0     56.4851     3.35748
1          41     251.145     209.863           0     58.4111     4.26558
1          42      252.13     210.063           0     60.9701     6.17322
1          43     253.117     210.251           0     63.2307     9.29276
1          44     254.111     210.396           0     65.4662     11.4351
